ModelID,PatientID,CellLineName,StrippedCellLineName,DepmapModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode
ACH-000997,PT-i0VYNQ,HCT-15,HCT15,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000998,PT-A55gCd,CW-2,CW2,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000999,PT-hR5WVg,SNU-1040,SNU1040,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-001000,PT-CnIDAz,1321N1,1321N1,ASTR,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-001001,PT-epgMPc,143B,143B,OS,Bone,Osteosarcoma,Osteosarcoma,OS
ACH-001002,PT-5WoxMn,451Lu,451LU,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-001007,PT-IAac7b,A673STAG2KO16,A673STAG2KO16,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001008,PT-IAac7b,A673STAG2KO45,A673STAG2KO45,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001009,PT-IAac7b,A673STAG2NT14,A673STAG2NT14,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001010,PT-IAac7b,A673STAG2NT23,A673STAG2NT23,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001015,PT-AXbbCE,AZ521,AZ521,DA,Bowel,Small Bowel Cancer,Duodenal Adenocarcinoma,DA
ACH-001016,PT-Pxi6oo,Becker,BECKER,ASTR,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-001017,PT-c34xau,BGC823,BGC823,ECAD,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,ECAD
ACH-001018,PT-xU6CEy,BJ hTERT,BJHTERT,ZFIBNOS,Fibroblast,Non-Cancerous,"Fibroblast, NOS",
ACH-001020,PT-WLHxY0,BT-16,BT16,ATRT,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,ATRT
ACH-001021,PT-qL6HtY,C3A,C3A,LIHB,Liver,Hepatoblastoma,Hepatoblastoma,LIHB
ACH-001022,PT-tD8WvT,CB-AGPN,CBAGPN,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001023,PT-llVV5F,CGTH-W-1,CGTHW1,HNSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,HNSC
ACH-001024,PT-rXLMnY,CHL-1,CHL1,MEL,Skin,Melanoma,Melanoma,MEL
ACH-001028,PT-kX7CzT,CHLA-06,CHLA06ATRT,ATRT,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,ATRT
ACH-001029,PT-NX1XUV,CHLA-10,CHLA10,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001030,PT-S2RI1y,CHLA-218,CHLA218,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001031,PT-nuzviS,CHLA-266,CHLA266,ATRT,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,ATRT
ACH-001032,PT-ZMTtkN,CHLA-32,CHLA32,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001033,PT-FSTNvW,CHLA-57,CHLA57,PNET,CNS/Brain,Embryonal Tumor,Primitive Neuroectodermal Tumor,PNET
ACH-001034,PT-NX1XUV,CHLA-9,CHLA9,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001035,PT-VYA17t,CHLA-99,CHLA99,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001036,PT-XYdNvp,CMK-11-5,CMK115,MLADS,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,MLADS
ACH-001037,PT-XYdNvp,CMK-86,CMK86,MLADS,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,MLADS
ACH-001038,PT-Wd5HrW,COG-E-352,COGE352,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001039,PT-BLAWlD,COLO 205,COLO205,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-001041,PT-rXLMnY,CHL-1-DM,CHL1DM,MEL,Skin,Melanoma,Melanoma,MEL
ACH-001042,PT-8fO9EH,COLO-704,COLO704,UCEC,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,UCEC
ACH-001043,PT-pWj35D,COLO 775,COLO775,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-001044,PT-hf4hbl,COLO 818,COLO818,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-001045,PT-w6ABKA,COLO 849,COLO849,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-001047,PT-tvUqrj,COR-L51,CORL51,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-001048,PT-gZt1Og,COV504,COV504,SOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC
ACH-001049,PT-Vc9FSH,CPC-N,CPCN,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-001050,PT-30CR5P,CW9019,CW9019,ARMS,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,ARMS
ACH-001052,PT-hiWFJs,D384,D384,MBL,CNS/Brain,Embryonal Tumor,Medulloblastoma,MBL
ACH-001053,PT-HMzBz8,D425,D425,MBL,CNS/Brain,Embryonal Tumor,Medulloblastoma,MBL
ACH-001054,PT-HMzBz8,D458,D458,MBL,CNS/Brain,Embryonal Tumor,Medulloblastoma,MBL
ACH-001055,PT-OKPPsO,D556,D556,MBL,CNS/Brain,Embryonal Tumor,Medulloblastoma,MBL
ACH-001057,PT-AyniWJ,DERL-2,DERL2,HSTCL,Lymphoid,Mature T and NK Neoplasms,Hepatosplenic T-cell Lymphoma,HSTCL
ACH-001059,PT-uwRFH0,DL,DL,ERT,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,
ACH-001060,PT-T0uF5o,DL-40,DL40,ALCLALKN,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Negative,ALCLALKN
ACH-001061,PT-i0VYNQ,DLD-1,DLD1,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-001063,PT-zAzHh6,DOV13,DOV13,SOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC
ACH-001064,PT-Lz3i3Q,EB-2,EB2,BL,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL
ACH-001065,PT-gYTQ41,Evsa-T,EVSAT,ILC,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,ILC
ACH-001066,PT-9bfdpD,EWS-834,EWS834,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001067,PT-0woxaX,F5,F5,MNG,CNS/Brain,Meningothelial Tumor,Meningioma,MNG
ACH-001068,PT-QyZnxn,FE-PD,FEPD,ALCLALKN,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Negative,ALCLALKN
ACH-001071,PT-c34xau,GLC-82,GLC82,ECAD,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,ECAD
ACH-001072,PT-tXqEg0,GR-M,GRM,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-001075,PT-nKyqod,NCI-H292,NCIH292,LUMEC,Lung,Non-Small Cell Lung Cancer,Mucoepidermoid Carcinoma of the Lung,LUMEC
ACH-001079,PT-gjIBeG,HCC1897,HCC1897,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-001081,PT-JITDXL,HCC2998,HCC2998,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-001084,PT-i0VYNQ,HCT-8,HCT8,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-001086,PT-c34xau,HeLa,HELA,ECAD,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,ECAD
ACH-001087,PT-RKrVql,HK-2,HK2,ZIMMEKC,Kidney,Non-Cancerous,Immortalized Embyonic Kidney Cells,
ACH-001088,PT-Qd4EkU,HLC-1,HLC1,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-001089,PT-saZI6H,HLE,HLE,HCC,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-001090,PT-yu1MA4,HN,HN,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-001091,PT-i0VYNQ,HRT18,HRT18,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-001093,PT-KjAsFy,Hs 604.T,HS604T,ZFIBLYM,Fibroblast,Non-Cancerous,Fibroblast,
ACH-001094,PT-epgMPc,HTK-,HTK,OS,Bone,Osteosarcoma,Osteosarcoma,OS
ACH-001096,PT-BarDvA,JR,JR,ARMS,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,ARMS
ACH-001097,PT-Q8gcpV,KARPAS-384,KARPAS384,ATLL,Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,ATLL
ACH-001098,PT-htpobI,KCI-MOH1,KCIMOH1,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-001099,PT-FynJTm,KD,KD,ERT,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,
ACH-001100,PT-gWewrL,KHYG-1,KHYG1,NKCLL,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL),NKCLL
ACH-001101,PT-rg0sYD,KLM-1,KLM1,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-001106,PT-6djQUQ,KOPN-8,KOPN8,BLL,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-001107,PT-cHU83i,KP-1N,KP1N,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-001109,PT-c4rduD,KP-MRT-RY,KPMRTRY,MRT,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,MRT
ACH-001111,PT-glFbpW,L82,L82,ALCLALKP,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,ALCLALKP
ACH-001113,PT-ZglKg6,LC-1/sq-SF,LC1SQSF,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-001118,PT-DK2CQc,M059J,M059J,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-001119,PT-eHvuQ3,Mac-2A,MAC2A,ALCLALKN,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Negative,ALCLALKN
ACH-001121,PT-2VMIkL,MEC2,MEC2,CLLSLL,Lymphoid,Mature B-Cell Neoplasms,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,CLLSLL
ACH-001122,PT-UdxRuH,MKL-1,MKL1,MCC,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,MCC
ACH-001123,PT-XXNGhi,MKL-2,MKL2,MCC,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,MCC
ACH-001125,PT-wrjyKM,MOG-G-CCM,MOGGCCM,AASTR,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,AASTR
ACH-001126,PT-zDLyUv,MOG-G-UVW,MOGGUVW,AASTR,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,AASTR
ACH-001127,PT-1559gB,MOLT-4,MOLT4,TLL,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,TLL
ACH-001128,PT-u43maP,MON,MON,ERT,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,
ACH-001129,PT-ej13Dz,MONO-MAC-1,MONOMAC1,AMOL,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,AMOL
ACH-001130,PT-A1W1kN,MOTN-1,MOTN1,TLGL,Lymphoid,Mature T and NK Neoplasms,T-Cell Large Granular Lymphocytic Leukemia,TLGL
ACH-001131,PT-RgVcvG,MS-1,MSDASH1,MCC,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,MCC
ACH-001132,PT-amL0ty,MTA,MTA,NKCLL,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL),NKCLL
ACH-001134,PT-YD7WB8,MYLA,MYLA,TLL,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,TLL
ACH-001136,PT-H7E2LW,NCI-H187,NCIH187,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-001137,PT-v8h3uk,NCI-H1993,NCIH1993,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-001138,PT-XCPxrP,NCI-H2141,NCIH2141,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-001142,PT-8xkIWr,NHAHTDD,NHAHTDD,ZIMMEPCNS,CNS/Brain,Non-Cancerous,"Immortalized Epithelial Cells, CNS",
ACH-001143,PT-grud9f,NKL,NKL,NKCLL,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL),NKCLL
ACH-001144,PT-bgvLGx,OC315,OC315,SOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC
ACH-001145,PT-3doOpy,OC 316,OC316,SOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC
ACH-001146,PT-uTwd7n,OCI-Ly10,OCILY10,ABC,Lymphoid,Mature B-Cell Neoplasms,Activated B-cell Type,ABC
ACH-001147,PT-rlWyNR,OCI-Ly12,OCILY12,FTCL,Lymphoid,Mature T and NK Neoplasms,Follicular T-Cell Lymphoma,FTCL
ACH-001148,PT-pngX0a,OCILY-132,OCILY132,DLBCLNOS,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-001150,PT-5G7P6A,OUMS-27,OUMS27,CHS,Bone,Chondrosarcoma,Chondrosarcoma,CHS
ACH-001151,PT-u4FBpq,OVCAR-5,OVCAR5,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-001162,PT-7JeWYM,PCM6,PCM6,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-001163,PT-wOhyc6,CCLF_PEDS_0001_T,CCLFPEDS0001T,MRC,Kidney,Renal Cell Carcinoma,Renal Medullary Carcinoma,MRC
ACH-001164,PT-VJQa5v,CCLF_PEDS_0003_T,CCLFPEDS0003T,MFH,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,MFH
ACH-001170,PT-edrO6Y,PeTa,PETA,MCC,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,MCC
ACH-001171,PT-9JMXWA,PL45,PL45,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-001172,PT-88IC1n,U-251 MG DM,U251MGDM,ASTR,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-001175,PT-cSAYbR,RCC-4,RCC4,CCRCC,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-001182,PT-sJzdOB,RPMI 6666,RPMI6666,BLL,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-001183,PT-ESM25t,RT112/84,RT11284,BLCA,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-001184,PT-4E3Ck9,SCMC-RM2,SCMCRM2,ARMS,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,ARMS
ACH-001188,PT-ombRgU,SH-SY5Y,SHSY5Y,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-001189,PT-lbYOig,SJRH-30,SJRH30,ARMS,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,ARMS
ACH-001190,PT-IHNbDy,SK-MEL-2,SKMEL2,MEL,Skin,Melanoma,Melanoma,MEL
ACH-001192,PT-MPUfgI,SK-NEP-1,SKNEP1,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001193,PT-zjZ0Ko,SK-PN-DW,SKPNDW,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001194,PT-sWRqxl,SK-RC-31,SKRC31,RCC,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-001196,PT-9a1vbV,SMS-CTR,SMSCTR,ERMS,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,ERMS
ACH-001197,PT-3YIeN9,SMZ-1,SMZ1,MTNN,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,MTNN
ACH-001198,PT-88IC1n,SNB19,SNB19,ASTR,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-001199,PT-GfrL06,SNUC2B,SNUC2B,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-001200,PT-XDzUk4,STM91-01,STM9101,MRT,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,MRT
ACH-001201,PT-ONhJf5,SU-MB-002,SUMB002,MBL,CNS/Brain,Embryonal Tumor,Medulloblastoma,MBL
ACH-001203,PT-rxxQHV,SUP-HD1,SUPHD1,HL,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,HL
ACH-001205,PT-eQaQl0,TC-32,TC32,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001206,PT-Rd7WW0,TTC-466,TTC466,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001207,PT-2m2BT9,TIG-3 TD,TIG3TD,ZFIBLUN,Fibroblast,Non-Cancerous,"Fibroblast, Lung",
ACH-001208,PT-KoSg1m,TK-10,TK10,CCRCC,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-001210,PT-zlBs5P,TTC-1240,TTC1240,MRT,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,MRT
ACH-001211,PT-ZmNOms,TTC-549,TTC549,ERT,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,
ACH-001212,PT-EY60tR,TTC-642,TTC642,ERT,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,
ACH-001214,PT-5XnRfQ,U-138 MG,U138MG,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-001224,PT-E0NX5O,UM-RC-2,UMRC2,CCRCC,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-001225,PT-Bh5u27,UM-RC-6,UMRC6,RCC,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-001227,PT-k3C7C0,UPCI-SCC-090,UPCISCC090,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-001228,PT-k3C7C0,UPCI-SCC-152,UPCISCC152,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-001229,PT-FRJzoR,UPCI-SCC-154,UPCISCC154,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-001230,PT-EnYQdN,UT-7,UT7,AMKL,Myeloid,Acute Myeloid Leukemia,Acute Megakaryoblastic Leukemia,AMKL
ACH-001232,PT-Qe9Gjx,UW228,UW228,MBL,CNS/Brain,Embryonal Tumor,Medulloblastoma,MBL
ACH-001233,PT-whmZjB,VMRC-LCD,VMRCLCD,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-001234,PT-MTIfex,VMRC-LCP,VMRCLCP,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-001239,PT-JAyPtz,WM-266-4,WM2664,MEL,Skin,Melanoma,Melanoma,MEL
ACH-001249,PT-k1TO7o,YMB-1,YMB1,IDC,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-001270,PT-isOde8,1273/99,127399,SYNS,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SYNS
ACH-001272,PT-dd28j8,Fuji,FUJI,SYNS,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SYNS
ACH-001274,PT-IfpyhV,SW982,SW982,SYNS,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SYNS
ACH-001275,PT-WqcWC9,SYO1,SYO1,SYNS,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SYNS
ACH-001277,PT-yyLDZV,Yamato,YAMATO,SYNS,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SYNS
ACH-001278,PT-ZkKui4,BIN-67,BIN67,SCCO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,SCCO
ACH-001279,PT-z5pG5i,SCCOHT-1,SCCOHT1,SCCO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,SCCO
ACH-001280,PT-u27nif,SCS-214,SCS214,SYNS,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SYNS
ACH-001282,PT-uiabZo,CHLA-258,CHLA258,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001283,PT-yXtSGR,TC-106,TC106,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-001289,PT-773uN4,COG-AR-359,COGAR359,ATRT,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,ATRT
ACH-001295,PT-KinR5m,Y-79,Y79,RBL,Eye,Retinoblastoma,Retinoblastoma,RBL
ACH-001300,PT-ZhCETu,CHLA-15,CHLA15,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-001301,PT-9ShVj5,COG-N-278,COGN278,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-001302,PT-37DeSd,COG-N-305,COGN305,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-001303,PT-IFd9cu,NB-1643,NB1643,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-001306,PT-Dn9adW,8305C,8305C,THAP,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,THAP
ACH-001307,PT-1llqWx,8505C,8505C,THAP,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,THAP
ACH-001310,PT-1UiNjR,HA1E,HA1E,ZIMMEKC,Kidney,Non-Cancerous,Immortalized Embyonic Kidney Cells,
ACH-001318,PT-E7izN5,PLC/PRF/5,PLCPRF5,HCC,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-001321,PT-RAH5Wu,TT,TT,THME,Thyroid,Medullary Thyroid Cancer,Medullary Thyroid Cancer,THME
ACH-001322,PT-NzxvhN,CME-1,CME1,SYNS,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,SYNS
ACH-001328,PT-BB1vF7,A-431,A431,CSCC,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,CSCC
ACH-001329,PT-tYbbCQ,ANGM-CSS,ANGMCSS,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-001331,PT-oQXmqM,BICR 10,BICR10,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-001332,PT-aRE4u7,BICR 78,BICR78,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-001333,PT-9q6tDV,C-33 A,C33A,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC
ACH-001334,PT-ERAmPK,C-4 I,C4I,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC
ACH-001335,PT-ERAmPK,C-4 II,C4II,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC
ACH-001336,PT-QAGzTB,Ca Ski,CASKI,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC
ACH-001338,PT-cvCz0R,CHP-134,CHP134,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-001339,PT-hf4hbl,Colo 794,COLO794,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-001340,PT-G1dQTb,COV413A,COV413A,SOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC
ACH-001341,PT-tTbVoL,DoTc2 4510,DOTC24510,MCCE,Cervix,Mixed Cervical Carcinoma,Mixed Cervical Carcinoma,MCCE
ACH-001344,PT-smWXLD,GI-ME-N,GIMEN,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-001345,PT-sGJOXH,GP5d,GP5D,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-001346,PT-VXDXrs,H103,H103,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-001347,PT-C880aD,H157,H157,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-001350,PT-KgSHOe,HTC-C3,HTCC3,THAP,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,THAP
ACH-001353,PT-dEG8Km,JOPACA-1,JOPACA1,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-001354,PT-6gsVP1,LAN-2,LAN2,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-001355,PT-SszZYn,LAN-6,LAN6,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-001356,PT-b1GXgx,MB-1,MB1,THAP,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,THAP
ACH-001357,PT-mrGSYl,MCF 10A,MCF10A,ZIMMBR,Breast,Non-Cancerous,Immortalized Breast Cells,
